phase,mode,variant,date,variant_minus_reference_yuan,emergency_cost_difference,plan_cost_difference,adjustment_difference
formal,q4_2,shuffle_20260916,2025-06-04,3880.652202306839,4882.902450689573,-1002.2502483827338,0.0
formal,q4_2,shuffle_20260916,2025-06-09,3027.3209771331967,5090.676292633326,-2063.355315500128,0.0
formal,q4_2,shuffle_20260917,2025-06-05,5458.485232454608,7175.5849988604095,-1717.0997664058013,0.0
formal,q4_2,shuffle_20260917,2025-06-06,4255.63725545667,4913.80796321667,-658.1707077600004,0.0
formal,q4_2,shuffle_20260917,2025-06-10,3547.2341999219643,5329.095011689583,-1781.8608117676122,0.0
formal,q4_2,shuffle_20260917,2025-06-04,3042.2189532858465,3886.2956129979066,-844.0766597120528,0.0
formal,q4_2,shuffle_20260917,2025-08-25,2931.592259162513,3839.3562035416617,-907.7639443791559,0.0
formal,q4_2,terminal_0,2025-12-31,2316.8833333333314,0.0,2316.8833333333314,0.0
formal,q4_2,terminal_0,2025-02-01,-1718.2121481282848,0.0,-1718.2121481282848,0.0
formal,q4_2,terminal_0,2025-07-11,-637.0435104820317,9.094947017729282e-13,-637.0435104820353,0.0
formal,q4_2,terminal_0,2025-06-14,-598.8762734781885,1.1368683772161603e-12,-598.8762734781885,0.0
formal,q4_2,terminal_0,2025-07-25,-564.0819011629173,0.0,-564.0819011629173,0.0
formal,q4_2,terminal_05,2025-11-16,2260.03333333334,-9.094947017729282e-13,2260.033333333333,0.0
formal,q4_2,terminal_05,2025-11-02,2198.4841354403325,-9.094947017729282e-13,2198.4841354403325,0.0
formal,q4_2,terminal_05,2025-02-16,1576.7923868312719,-6.821210263296962e-13,1576.7923868312719,0.0
formal,q4_2,terminal_05,2025-03-09,1557.6333333333314,-5.684341886080801e-13,1557.6333333333314,0.0
formal,q4_2,terminal_05,2025-11-09,1484.5666666666657,-1.1368683772161603e-12,1484.5666666666657,0.0
formal,q4_2,terminal_15,2025-02-01,0.0,0.0,0.0,0.0
formal,q4_2,terminal_15,2025-09-15,0.0,0.0,0.0,0.0
formal,q4_2,terminal_15,2025-09-14,0.0,0.0,0.0,0.0
formal,q4_2,terminal_15,2025-09-13,0.0,0.0,0.0,0.0
formal,q4_2,terminal_15,2025-09-12,0.0,0.0,0.0,0.0
formal,q4_3,horizon_12,2025-12-10,1601.084568774284,1993.6184485298581,0.0,-392.5338797555697
formal,q4_3,horizon_12,2025-07-06,1600.082011266044,-107.24622351194193,0.0,1707.3282347779823
formal,q4_3,horizon_12,2025-07-22,-944.6070416414295,-56.28521121319636,0.0,-888.3218304282437
formal,q4_3,horizon_12,2025-10-06,922.398123501298,1272.9979043909716,0.0,-350.5997808896757
formal,q4_3,horizon_12,2025-08-05,-861.7331576474389,-432.2688736083369,0.0,-429.4642840391041
formal,q4_3,horizon_18,2025-10-04,308.6887646020841,308.6887646020823,0.0,0.0
formal,q4_3,horizon_18,2025-11-21,49.00964186805504,49.009641868055496,0.0,0.0
formal,q4_3,horizon_18,2025-10-18,-26.512833190972742,-26.512833190971833,0.0,0.0
formal,q4_3,horizon_18,2025-05-07,-2.1827872842550278e-11,-2.3646862246096134e-11,0.0,0.0
formal,q4_3,horizon_18,2025-06-04,-1.4551915228366852e-11,-5.4569682106375694e-12,0.0,0.0
formal,q4_3,horizon_24,2025-02-01,0.0,0.0,0.0,0.0
formal,q4_3,horizon_24,2025-09-15,0.0,0.0,0.0,0.0
formal,q4_3,horizon_24,2025-09-14,0.0,0.0,0.0,0.0
formal,q4_3,horizon_24,2025-09-13,0.0,0.0,0.0,0.0
formal,q4_3,horizon_24,2025-09-12,0.0,0.0,0.0,0.0
validation,q2,count10_span10,2025-01-17,-9858.773930839372,78.74637852500031,-9937.520309364372,0.0
validation,q2,count10_span10,2025-01-18,-5022.876179355986,963.9728196041666,-5986.848998960151,0.0
validation,q2,count10_span10,2025-01-25,-3569.359642563726,502.52015433333327,-4071.879796897061,0.0
validation,q2,count10_span10,2025-01-24,-3240.818233003687,764.278299301386,-4005.096532305073,0.0
validation,q2,count10_span10,2025-01-15,2735.439147260171,0.0,2735.439147260171,0.0
validation,q2,count10_span20,2025-01-23,10673.750444968842,-60.26663692777755,10734.017081896629,0.0
validation,q2,count10_span20,2025-01-19,10356.343531290258,-283.1113831583346,10639.454914448594,0.0
validation,q2,count10_span20,2025-01-25,9238.457364005772,-37.34570666666638,9275.803070672438,0.0
validation,q2,count10_span20,2025-01-18,5667.186580732363,-744.7212515374973,6411.907832269862,0.0
validation,q2,count10_span20,2025-01-15,2782.76645278433,0.0,2782.76645278433,0.0
validation,q2,count40_span40,2025-01-25,-1630.5721328748186,193.2956940305547,-1823.8678269053707,0.0
validation,q2,count40_span40,2025-01-24,-1302.203544730095,251.75497916944238,-1553.9585238995387,0.0
validation,q2,count40_span40,2025-01-29,1138.155019272599,-191.0914844680574,1329.2465037406582,0.0
validation,q2,count40_span40,2025-01-31,1133.0302912878396,-558.4025446784688,1691.432835966305,0.0
validation,q2,count40_span40,2025-01-30,1129.78530997716,-279.82308318610814,1409.6083931632747,0.0
validation,q2,raw_history,2025-01-31,34024.12180667151,-1078.2001598097218,35102.321966481235,0.0
validation,q2,raw_history,2025-01-25,31467.85320790847,-37.34570666666638,31505.198914575136,0.0
validation,q2,raw_history,2025-01-24,31335.526380915933,-91.03136738055548,31426.557748296487,0.0
validation,q2,raw_history,2025-01-18,27939.635063107657,-687.6829748708308,28627.31803797849,0.0
validation,q2,raw_history,2025-01-17,22659.19390615564,0.0,22659.19390615564,0.0
validation,q2,reference,2025-01-08,0.0,0.0,0.0,0.0
