phase,mode,variant,month,total_cost_yuan,emergency_cost_yuan,emergency_share
formal,q4_2,shuffle_20260913,2025-06,1678770.0606737447,285725.13331759325,0.17019908801740397
formal,q4_2,shuffle_20260913,2025-07,1881112.6203787983,141577.46950227633,0.07526262275236183
formal,q4_2,shuffle_20260913,2025-08,1552618.9045572316,111170.47551977287,0.07160190771442135
formal,q4_2,shuffle_20260913,2025-09,1264520.649002948,124399.39714877041,0.09837672263150239
formal,q4_2,shuffle_20260913,2025-10,1218392.7327541371,122734.30189784786,0.10073459780116299
formal,q4_2,shuffle_20260913,2025-11,1383466.6623669935,64743.46728382836,0.04679799596548124
formal,q4_2,shuffle_20260913,2025-12,2040993.981298864,127982.76009280201,0.06270609382755521
formal,q4_2,shuffle_20260914,2025-02,1340392.2080856832,32042.337645586063,0.023905195399000552
formal,q4_2,shuffle_20260914,2025-03,1226171.0946903396,123613.66540859996,0.10081273807862652
formal,q4_2,shuffle_20260914,2025-04,1000321.5384531269,95595.17905195623,0.09556445140607721
formal,q4_2,shuffle_20260914,2025-05,1071032.7611703568,136150.01351626034,0.1271203071019828
formal,q4_2,shuffle_20260914,2025-06,1673270.6138234932,279126.3660923123,0.16681483783098117
formal,q4_2,shuffle_20260914,2025-07,1877859.5395655343,135482.35704802704,0.07214722624002673
formal,q4_2,shuffle_20260914,2025-08,1551919.5124675457,111198.90678622498,0.07165249608171959
formal,q4_2,shuffle_20260914,2025-09,1267092.6917880045,125065.2504988687,0.09870252690226486
formal,q4_2,shuffle_20260914,2025-10,1220864.0846939245,125888.15980499786,0.10311398408984938
formal,q4_2,shuffle_20260914,2025-11,1384297.6531526656,66947.12088113118,0.048361796127200395
formal,q4_2,shuffle_20260914,2025-12,2037803.0844248405,126667.30568621034,0.06215875648355962
formal,q4_2,shuffle_20260915,2025-02,1338538.2686449734,30277.40903198745,0.02261975599893593
formal,q4_2,shuffle_20260915,2025-03,1227632.6612388142,124902.9677878729,0.10174294944371412
formal,q4_2,shuffle_20260915,2025-04,1001994.8353299106,97251.22317568054,0.09705760922775636
formal,q4_2,shuffle_20260915,2025-05,1070267.4486283052,134980.1930216312,0.12611818961197677
formal,q4_2,shuffle_20260915,2025-06,1675132.570032223,282816.0497496159,0.1688320404063158
formal,q4_2,shuffle_20260915,2025-07,1880228.7528719173,136662.73354894583,0.0726840993896105
formal,q4_2,shuffle_20260915,2025-08,1552445.300768188,110704.18748171808,0.07130955752639977
formal,q4_2,shuffle_20260915,2025-09,1266728.7227317393,124625.07821094163,0.09838339967707042
formal,q4_2,shuffle_20260915,2025-10,1221303.849992443,126311.67851529995,0.10342363083198461
formal,q4_2,shuffle_20260915,2025-11,1381907.566580361,64866.547045127634,0.04693985952015952
formal,q4_2,shuffle_20260915,2025-12,2044058.657499051,129436.14074741869,0.06332310487889156
formal,q4_2,shuffle_20260916,2025-02,1339636.235052508,31323.87030176313,0.023382370140604153
formal,q4_2,shuffle_20260916,2025-03,1227692.4201301085,124408.12778059997,0.10133493189394738
formal,q4_2,shuffle_20260916,2025-04,997732.9466983973,92586.37281118742,0.092796747985085
formal,q4_2,shuffle_20260916,2025-05,1074769.590171573,139891.8964713338,0.1301598945025993
formal,q4_2,shuffle_20260916,2025-06,1676308.2898046742,284981.5039190499,0.17000542540552394
formal,q4_2,shuffle_20260916,2025-07,1879948.0218526416,136205.28459731693,0.0724516226055495
formal,q4_2,shuffle_20260916,2025-08,1553958.6827522593,111946.24839919161,0.072039398242507
formal,q4_2,shuffle_20260916,2025-09,1270049.2698858227,128190.73153107913,0.10093366814234181
formal,q4_2,shuffle_20260916,2025-10,1219996.4382712936,125345.70651343431,0.10274268234016014
formal,q4_2,shuffle_20260916,2025-11,1381925.0273419132,63862.617872711075,0.046212794912288906
formal,q4_2,shuffle_20260916,2025-12,2041724.2209335316,128328.6575244666,0.06285308084643834
formal,q4_2,shuffle_20260917,2025-02,1338879.112088418,30923.86901446037,0.02309683431107124
formal,q4_2,shuffle_20260917,2025-03,1228781.9963412175,125227.15113667244,0.10191160963421084
formal,q4_2,shuffle_20260917,2025-04,999589.4641530163,94673.22265861456,0.09471210537301347
formal,q4_2,shuffle_20260917,2025-05,1071931.067620614,136506.59743106234,0.12734643257804687
formal,q4_2,shuffle_20260917,2025-06,1675272.389135394,280996.592401702,0.16773188302036304
formal,q4_2,shuffle_20260917,2025-07,1879147.955966657,139964.98166467418,0.07448321523606398
formal,q4_2,shuffle_20260917,2025-08,1553963.4556789869,112757.23696059789,0.07256106091074702
formal,q4_2,shuffle_20260917,2025-09,1267537.678523516,127622.51776460624,0.10068538389585908
formal,q4_2,shuffle_20260917,2025-10,1221790.7706070002,127013.45656663744,0.10395679818692331
formal,q4_2,shuffle_20260917,2025-11,1384562.3031259098,67365.35684290202,0.04865462297421507
formal,q4_2,shuffle_20260917,2025-12,2041189.5547103721,128303.69100260822,0.0628573131322012
formal,q4_2,terminal_0,2025-02,1342972.3969333281,27173.96638651942,0.020234195764984492
formal,q4_2,terminal_0,2025-03,1230371.4232229926,118000.97775421251,0.09590679328775828
formal,q4_2,terminal_0,2025-04,1002356.958517357,88068.02450397497,0.08786093991330332
formal,q4_2,terminal_0,2025-05,1066052.6086443316,123574.25388931244,0.1159175943919487
formal,q4_2,terminal_0,2025-06,1654094.265759443,241662.36647621417,0.14609951287465464
formal,q4_2,terminal_0,2025-07,1863098.4126276628,133158.05799087702,0.0714712959274516
formal,q4_2,terminal_0,2025-08,1543469.6645852611,96726.8542311297,0.06266845176845166
formal,q4_2,terminal_0,2025-09,1262284.4464791543,109523.13510132286,0.08676581210107745
formal,q4_2,terminal_0,2025-10,1222147.9803249661,114912.00108723326,0.09402462135287287
formal,q4_2,terminal_0,2025-11,1387604.3069853834,57242.504188054096,0.0412527576484793
formal,q4_2,terminal_0,2025-12,2055312.3288105098,116423.69524565492,0.05664525708023846
formal,q4_2,terminal_05,2025-02,1339894.52038955,27160.09346201942,0.020270322065443717
formal,q4_2,terminal_05,2025-03,1229125.6703674947,117990.99172123334,0.0959958729736361
formal,q4_2,terminal_05,2025-04,1002215.835514978,88068.02450397497,0.08787331169909339
formal,q4_2,terminal_05,2025-05,1066003.5841025214,123574.25388931244,0.11592292533739536
formal,q4_2,terminal_05,2025-06,1654094.265759443,241662.36647621417,0.14609951287465464
formal,q4_2,terminal_05,2025-07,1863098.4126276628,133158.05799087702,0.0714712959274516
formal,q4_2,terminal_05,2025-08,1543469.6645852611,96726.8542311297,0.06266845176845166
formal,q4_2,terminal_05,2025-09,1262329.2654648542,109523.13510132286,0.08676273148194091
formal,q4_2,terminal_05,2025-10,1221336.6778064074,114901.33633685826,0.09407834745717113
formal,q4_2,terminal_05,2025-11,1386695.194100779,57021.97596595202,0.04112077131912805
formal,q4_2,terminal_05,2025-12,2046300.9364713477,116430.55110095492,0.05689805884648051
formal,q4_2,terminal_15,2025-02,1340640.5099253817,27160.09346201942,0.020259042794053057
formal,q4_2,terminal_15,2025-03,1225926.5645451338,117923.2378665521,0.09619111068884144
formal,q4_2,terminal_15,2025-04,998118.9882838186,87909.44227552286,0.08807511259421658
