phase,mode,variant,days,intervals,total_cost_yuan,emergency_kwh,emergency_cost_yuan,emergency_cost_share,unused_surplus_kwh,throughput_kwh,net_adjustment_yuan,sequential_cost_yuan,initial_soc,terminal_soc,solves,solver_seconds,median_seconds,p95_seconds,max_seconds,simulation_seconds,audit_seconds,failures,max_lp_residual,min_actual_scenarios,max_actual_scenarios,max_physical_residual,passed,export_seconds
validation,q4_2,reference,24,3456,1657505.3768604607,1395.379311111105,5573.76209163956,0.0033627414845537446,395059.48659027787,1102925.5128460047,0.0,1657505.3768604607,6000.0,6000.0,24,1.8171225380065152,0.06456510399948456,0.10301753295043452,0.32019975000002887,2.516277500000797,0.3095895830010704,0,0.0,6,20,1.0231815394945443e-12,True,1.3045216250011435
validation,q4_2,shuffle_20260913,24,3456,1626396.1160699977,1977.471604166659,7524.534671969417,0.004626508018324345,353801.6657166667,1098303.1854993142,0.0,1626396.1160699977,6000.0,6000.0,24,1.1911025830013386,0.045264145999681205,0.08988251249911622,0.0948482090007019,1.6339014589993894,0.2271735409995017,0,1.1368683772161603e-13,6,20,1.0231815394945443e-12,True,0.8720512090003467
validation,q4_2,shuffle_20260914,24,3456,1625618.920895086,2014.4424986111032,7928.575685227747,0.004877265872903457,354078.98055138893,1097269.875015192,0.0,1625618.920895086,6000.0,6000.0,24,1.1258599139946455,0.052305479000096966,0.06256173124929773,0.06389595799919334,1.5479827909985033,0.18152658299914037,0,0.0,6,20,1.0231815394945443e-12,True,0.853436542000054
validation,q4_2,shuffle_20260915,24,3456,1621035.1221847513,2246.2277291666605,8771.978736973593,0.005411344033774637,346319.3809446846,1096675.851164849,0.0,1621035.1221847513,6000.0,6000.0,24,1.6527069570001913,0.07341935449949233,0.09448897049960578,0.09831354199923226,2.294165459001306,0.279061625000395,0,0.0,6,20,1.0231815394945443e-12,True,1.5024001250003494
validation,q4_2,shuffle_20260916,24,3456,1624682.6837830003,2171.859984722215,8263.155860122894,0.005086012144157595,349376.79258055566,1097524.8448615866,0.0,1624682.6837830003,6000.0,6000.0,24,1.4570501249982044,0.060427895999964676,0.07892325454949968,0.08456745900002716,2.036525708001136,0.2067577910002001,0,0.0,6,20,1.0231815394945443e-12,True,1.2372524999991583
validation,q4_2,shuffle_20260917,24,3456,1625266.4780210857,2115.828302777769,7659.96369826455,0.0047130509377091645,349706.8642291667,1097894.0932625686,0.0,1625266.4780210857,6000.0,6000.0,24,1.2071127880062704,0.03559904150006332,0.11167586610145003,0.25170266600071045,1.5826327499999024,0.14860570899872982,0,0.0,6,20,1.0231815394945443e-12,True,0.6643965830007801
validation,q4_2,terminal_0,24,3456,1663304.8780699908,1395.3793111111036,5573.762091639557,0.0033510165004187625,395064.6249236112,1122378.4518291154,0.0,1663304.8780699908,6000.0,6000.0,24,1.6166085429977102,0.06998185449992889,0.08833080180038451,0.09157041599974036,2.2864140830006363,0.2798598339995806,0,0.0,6,20,1.0231815394945443e-12,True,1.3279749159992207
validation,q4_2,terminal_05,24,3456,1658125.093985158,1395.379311111105,5573.76209163956,0.0033614846743821435,395059.48659027787,1103156.2347936383,0.0,1658125.093985158,6000.0,6000.0,24,1.9987880030002998,0.07553039599952172,0.10538416874987888,0.35741204200166976,2.815110249999634,0.2967386250002164,0,0.0,6,20,1.0231815394945443e-12,True,1.3486294579997775
validation,q4_2,terminal_15,24,3456,1657505.3768604607,1395.379311111105,5573.76209163956,0.0033627414845537446,395059.48659027787,1102925.5128460047,0.0,1657505.3768604607,6000.0,6000.0,24,1.5507047940009215,0.06751818749944505,0.08910766434937613,0.09394104199964204,2.1916020839998964,0.28491795800073305,0,0.0,6,20,1.0231815394945443e-12,True,1.2815775840008428
validation,q4_3,horizon_12,24,3456,1686203.4410856925,9262.148033742109,48112.39817699909,0.028532973545600797,367317.3222268072,1086159.7737630652,2122.3750539806315,1733790.9391381405,6000.0,6000.0,96,2.5899753749890806,0.025112083499152504,0.0510750729999927,0.054082542001197,3.378863084000841,0.3514506249994156,0,2.0463630789890885e-12,6,20,9.094947017729282e-13,True,0.8669228329999896
validation,q4_3,horizon_18,24,3456,1682368.7835266925,9230.667995007187,47782.058806321074,0.028401655614506333,365497.4358451996,1082717.7144485218,-1381.9431343414408,1687893.5202228318,6000.0,6000.0,96,4.227232086002914,0.0382056045009449,0.07415801024944813,0.09416941700146708,5.360154791000241,0.38901591600006213,0,2.0463630789890885e-12,6,20,9.094947017729282e-13,True,0.8952258330009499
validation,q4_3,horizon_24,24,3456,1682368.7835266925,9230.667995007187,47782.058806321074,0.028401655614506333,365497.4358451996,1082717.7144485218,-1381.9431343414408,1687893.5202228318,6000.0,6000.0,96,4.46536758900038,0.05068245799975557,0.08081300024969096,0.2879880830005277,5.616001666998272,0.46495162500104925,0,2.0463630789890885e-12,6,20,9.094947017729282e-13,True,1.0390339590012445
