mode,date,issue,parameter,ratio,parameter_value,base_objective,objective,objective_change_pct,grid_l1_kwh,soc_max_change_kwh,balance_residual,soc_residual
q3,2025-03-20,12,power_kw,0.9,4500.0,38489.22193176292,38647.43409458127,0.411055757632209,2854.4264527777805,674.9943750000002,2.2737367544323206e-13,9.094947017729282e-13
q3,2025-03-20,12,power_kw,1.0,5000.0,38489.22193176292,38489.22193176292,0.0,0.0,0.0,7.958078640513122e-13,9.094947017729282e-13
q3,2025-03-20,12,power_kw,1.1,5500.0,38489.22193176292,38453.710525145296,-0.09226324886636562,1430.1197296467753,300.0,7.958078640513122e-13,9.094947017729282e-13
q3,2025-03-20,12,power_kw,1.2,6000.0,38489.22193176292,38427.010525145284,-0.1616333183558085,2763.453062980109,600.0,7.958078640513122e-13,9.094947017729282e-13
q3,2025-03-20,18,terminal_multiplier,0.8,0.8,21134.495313418116,21134.495313418116,0.0,0.0,0.0,7.958078640513122e-13,9.094947017729282e-13
q3,2025-03-20,18,terminal_multiplier,0.9,0.9,21134.495313418116,21134.495313418116,0.0,0.0,0.0,7.958078640513122e-13,9.094947017729282e-13
q3,2025-03-20,18,terminal_multiplier,1.0,1.0,21134.495313418116,21134.495313418116,0.0,0.0,0.0,7.958078640513122e-13,9.094947017729282e-13
q3,2025-03-20,18,terminal_multiplier,1.1,1.1,21134.495313418116,21134.495313418116,0.0,0.0,0.0,7.958078640513122e-13,9.094947017729282e-13
q3,2025-03-20,18,terminal_multiplier,1.2,1.2,21134.495313418116,21134.495313418116,0.0,0.0,0.0,7.958078640513122e-13,9.094947017729282e-13
q3,2025-03-20,18,power_kw,0.8,4000.0,21134.495313418116,22344.463616844812,5.725087282583462,3258.489598473937,900.0,1.1368683772161603e-13,8.810729923425242e-13
q3,2025-03-20,18,power_kw,0.9,4500.0,21134.495313418116,21210.229389642773,0.35834343381066164,851.3926291666663,450.0,5.684341886080802e-14,9.094947017729282e-13
q3,2025-03-20,18,power_kw,1.0,5000.0,21134.495313418116,21134.495313418116,0.0,0.0,0.0,7.958078640513122e-13,9.094947017729282e-13
q3,2025-03-20,18,power_kw,1.1,5500.0,21134.495313418116,21134.495313418116,0.0,0.0,0.0,7.958078640513122e-13,9.094947017729282e-13
